// ====================================================================
// == If variable is prefixed with //, it means it's commented out ====
// == To use it remove the // and it will become active ===============
// ====================================================================


// === CUSTOMIZABLE VARIABLES =========================================

// If this value is positive, auto-produce workers as long as it's at least N of them
#AUTO_PRODUCE_WORKERS_UNTIL_N_WORKERS=-1

// If we have more or equal to N workers, auto-produce them until we reach AUTO_PRODUCE_WORKERS_MAX_WORKERS
#AUTO_PRODUCE_WORKERS_SINCE_N_WORKERS=5

// If AUTO_PRODUCE_WORKERS_SINCE_N_WORKERS is active, then this value will determine the maximum number of workers we can have
#AUTO_PRODUCE_WORKERS_MAX_WORKERS=50

// Which worker (1st, 4th, 8th) should scout and try to find enemy base
#SCOUT_IS_NTH_WORKER=4

// When supply is bigger than N, then start auto-producing supply units
//#USE_AUTO_SUPPLY_MANAGER_WHEN_SUPPLY_EXCEEDS=9

// ====================================================================


// === Build orders ===================================================

Number;Name;Modifier
// =================
1;Drone
2;Drone
3;Drone
1;Spawning Pool
3;Drone
4;Drone
1;Zergling
1;Hatchery;NEAR_MAIN
1;Zergling
4;Drone
1;Zergling
1;Zergling
5;Drone
9;Drone
10;Drone
1;Zergling
1;Hatchery
1;Zergling
11;Drone
12;Drone
1;Extractor
1;Lair
1;Spire
3;Drone
3;Drone
1;Mutalisk
2;Mutalisk
1;Mutalisk
2;Mutalisk
